budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
19000000.0,Warner Bros.,United Kingdom,Stanley Kubrick,Drama,46998772.0,The Shining,R,1980-06-13,146.0,8.4,Jack Nicholson,927000.0,Stephen King,1980
4500000.0,Columbia Pictures,United States,Randal Kleiser,Adventure,58853106.0,The Blue Lagoon,R,1980-07-02,104.0,5.8,Brooke Shields,65000.0,Henry De Vere Stacpoole,1980
18000000.0,Lucasfilm,United States,Irvin Kershner,Action,538375067.0,Star Wars: Episode V - The Empire Strikes Back,PG,1980-06-20,124.0,8.7,Mark Hamill,1200000.0,Leigh Brackett,1980
3500000.0,Paramount Pictures,United States,Jim Abrahams,Comedy,83453539.0,Airplane!,PG,1980-07-02,88.0,7.7,Robert Hays,221000.0,Jim Abrahams,1980
6000000.0,Orion Pictures,United States,Harold Ramis,Comedy,39846344.0,Caddyshack,R,1980-07-25,98.0,7.3,Chevy Chase,108000.0,Brian Doyle-Murray,1980
550000.0,Paramount Pictures,United States,Sean S. Cunningham,Horror,39754601.0,Friday the 13th,R,1980-05-09,95.0,6.4,Betsy Palmer,123000.0,Victor Miller,1980
27000000.0,Universal Pictures,United States,John Landis,Action,115229890.0,The Blues Brothers,R,1980-06-20,133.0,7.9,John Belushi,188000.0,Dan Aykroyd,1980
18000000.0,Chartoff-Winkler Productions,United States,Martin Scorsese,Biography,23402427.0,Raging Bull,R,1980-12-19,129.0,8.2,Robert De Niro,330000.0,Jake LaMotta,1980
54000000.0,Dovemead Films,United States,Richard Lester,Action,108185706.0,Superman II,PG,1981-06-19,127.0,6.8,Gene Hackman,101000.0,Jerry Siegel,1980
10000000.0,United Artists,United States,Walter Hill,Biography,15795189.0,The Long Riders,R,1980-05-16,100.0,7.0,David Carradine,10000.0,Bill Bryden,1980
15000000.0,The Malpaso Company,United States,Buddy Van Horn,Action,70687344.0,Any Which Way You Can,PG,1980-12-17,116.0,6.1,Clint Eastwood,18000.0,Stanford Sherman,1980
5000000.0,C.A.T. Films,South Africa,Jamie Uys,Adventure,30031783.0,The Gods Must Be Crazy,PG,1984-10-26,109.0,7.3,N!xau,54000.0,Jamie Uys,1980
20000000.0,Paramount Pictures,United States,Robert Altman,Adventure,49823037.0,Popeye,PG,1980-12-12,114.0,5.3,Robin Williams,30000.0,Jules Feiffer,1980
6000000.0,Paramount Pictures,United States,Robert Redford,Drama,54766923.0,Ordinary People,R,1980-06-19,124.0,7.7,Donald Sutherland,49000.0,Judith Guest,1980
6500000.0,Filmways Pictures,United States,Brian De Palma,Crime,31899000.0,Dressed to Kill,R,1980-07-25,104.0,7.1,Michael Caine,37000.0,Brian De Palma,1980
5100000.0,Rastar Pictures,United States,Jeannot Szwarc,Drama,9709597.0,Somewhere in Time,PG,1980-10-03,103.0,7.2,Christopher Reeve,27000.0,Richard Matheson,1980
10000000.0,IPC Films,United States,Colin Higgins,Comedy,103300686.0,9 to 5,PG,1980-12-19,109.0,6.9,Jane Fonda,29000.0,Patricia Resnick,1980
1000000.0,AVCO Embassy Pictures,United States,John Carpenter,Horror,21448782.0,The Fog,R,1980-02-08,89.0,6.8,Adrienne Barbeau,66000.0,John Carpenter,1980
11000000.0,Lorimar Film Entertainment,West Germany,William Friedkin,Crime,19814523.0,Cruising,R,1980-02-15,102.0,6.5,Al Pacino,20000.0,William Friedkin,1980
